,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,strain_type
494,Church OG,1,0,0.5,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.13968254,,,0.369394619,,,0.869674888,0.570876289,0.229820628,,0.087301587,0.457474227,,0.400773196,0.326233184,,,0.174603175,,,0.327963918,1,1,,,,,,,hybrid
495,Cinderella 99,0,0,0.39,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.826370231,0.337424408,1,0.752561413,,,1,,,0.845671939,,0.363099469,,0.877658246,0.261415057,,0.522286441,,,0.965316264,,0.402243746,,0.801448604,,,,,hybrid
496,Cinderella's Dream,0,0,0.3,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,0.779874214,1,0.267029973,0.86388584,,,,0.457765668,,,0.757861635,,0.247956403,,0.746981339,,,0.022012579,,,1,0.700878156,0.209809264,,0.735455543,,,,,sativa
497,Cindy White,3,0,0.375,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080808081,,0.783783784,1,0.794871795,,,1,,,0.080808081,,0.711711712,,0.764957265,0.080808081,,,,,0.927927928,0.645299145,,,0.696581197,,,,0.747747748,hybrid
498,Cinex,0,0,0.4,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,0.740148968,,1,0.758801058,0.678701482,1,,,,1,,,0.631182673,,0.614117658,,0.83229823,,,0.677837715,,,0.953418864,,0.865582962,,0.817594438,,,,,hybrid
499,Cirrus,0,0,0.26,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,0.909090909,0.181818182,,0.863636364,,1,,,,0.272727273,,,1,,0.909090909,,1,1,1,1,,,0.272727273,,,,,,,1,,sativa
500,Citrix,0,0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,0.233009709,0.8,0.876033058,,1,,,,0.834951456,,,1,,0.708737864,,0.79338843,0.08,,,,,1,0.710743802,0.72815534,,0.768595041,,,,,hybrid
501,Citrus Kush,0,0,0.575,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.127791563,,,1,,0.806451613,,1,,,0.827543424,,0.85483871,,0.23828125,,,0.146401985,0.771484375,0.532552083,0.879032258,0.577473958,0.879032258,,,,,,,hybrid
502,Citrus Punch,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,1,,0.157894737,,,0.53968254,,,,0.921052632,,,0.157894737,,1,,1,,,,,,1,1,0.842105263,,0.603174603,,0.842105263,,,sativa
503,Citrus Sap,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.727764188,0.6716898,,,1,,,0.27080891,0.667742474,,,0.82599235,0.130005553,,0.140803357,,,0.822519615,1,0.980524178,,0.792691003,,,,0.402231373,hybrid
504,Citrus Sunshine Haze,0,0,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,0.042580645,1,,0.633118783,0.642480983,0.637055838,,1,,,0.028387097,,0.555837563,,0.648917496,,,0.014193548,,,0.819796954,,0.763959391,,0.63604447,,,,,sativa
505,Clementine,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,0.616066609,0.289527562,,0.908084352,,1,0.607523412,,,1,,,0.52215516,,0.591947854,,0.851209895,0.284171206,,0.50412189,,,0.763260699,,0.481867177,,,,,,,sativa
506,Clementine Kush,0,0,0.63,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,0.929577465,0.327868852,0.70941337,,0.622100955,0.877216917,0.718309859,,1,,,0.327868852,,,,,,,1,,,,0.72851296,0.85915493,0.647887324,1,,,,,hybrid
507,Cloud 9,2,0,0.54,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.357142857,,,0.98630137,0.95890411,,,0.072992701,,,,0.058394161,,,,0.214285714,,0.5,0.931506849,0.931506849,1,,0.080291971,,1,,,,0.04379562,hybrid
508,Cluster Bomb,0,0,0.565,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,0.8,0.25,,0.8,,0.533333333,,,1,,,,,,,0.6,,,,0.866666667,,,,0.8,,0.466666667,,,0.2,,hybrid
509,Coconut Oil,2,0,0.29,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1,,,,1,0.810810811,1,,,0.5,,,1,,,,0.851351351,1,1,,,,,,,0.5,sativa
510,Cold Creek Kush,2,1,0.61,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.600202429,,,0.604925776,,0.929487179,,0.570871261,,0.972691808,,,0.254338395,,,,,0.254338395,,0.395336226,,,0.483745124,1,1,,0.697705803,,,,0.429128739,hybrid
