,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,strain_type
1521,Purple Cheddar,2,0,0.974311629,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.142857143,,0.518072289,0.916666667,,,0.887596899,0.590361446,,,,,,,0.881782946,0.142857143,,0.142857143,,,0.518072289,1,1,,0.916666667,,,,0.590361446,indica
1522,Purple Cheese,1,0,0.555,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029411765,,,1,,,0.376506024,0.08040201,0.168674699,,,,,,,0.058823529,,0.029411765,0.18373494,,0.08040201,0.575301205,0.331658291,,,,1,,0.100502513,hybrid
1523,Purple Chemdawg,2,0,0.75,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0.816998106,,0.399387443,0.529119318,1,,,0.415430267,,,,0.454900568,0.116913947,,0.514540059,,,0.730474732,1,0.971822358,,0.769886364,,,,0.6,indica
1524,Purple Cotton Candy,2,0,0.71,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.449438202,0.065217391,,0.584269663,0.703703704,,,0.740740741,,,,,,,,0.533333333,0.032608696,,0.032608696,,,,1,0.584269663,,0.511111111,,,0.516853933,1,indica
1525,Purple Crack,3,0,0.385,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.6675,1,,,0.757925072,0.2975,,,,,,0.6525,,0.035294118,,0.047058824,0.763688761,0.8117195,1,0.886647454,0.72,,,,,,,hybrid
1526,Purple Cream,1,0,0.5,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037783375,,,0.6139748,,0.730215827,0.885452463,1,0.548682703,,,,,,,0.022670025,,0.052896725,,,0.794964029,1,0.85971223,,0.579610538,,,,0.838129496,hybrid
1527,Purple Diesel,3,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.111496031,0.461160419,,1,,,,0.801211124,,,0.084919529,0.41950144,0.422217649,,0.990735334,0.092301891,,,,,1,0.834559539,0.628690693,,0.684390693,,,,,hybrid
1528,Purple Dog Shit,2,0,0.64,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,0.870967742,0.25,,1,1,0.35483871,,,0.258064516,,,0.25,,0.129032258,,0.602150538,,,,,,0.193548387,0.688172043,,,0.666666667,,,,,hybrid
1529,Purple Dragon,2,0,0.6,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.112254902,,0.737588652,0.773082489,,,,0.70212766,,,0.017156863,,,,0.923589001,,,0.030882353,0.941244573,,0.776201734,0.793342981,1,,1,,,,0.560283688,hybrid
1530,Purple Dream,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231989425,0.470021567,0.290127971,0.889432063,,,,1,,,,,,,0.671890726,0.789160608,,0.141440846,,,0.382449726,1,0.750274223,,0.884974838,,,0.285009141,,hybrid
1531,Purple Elephant,3,0,0.5,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.634772462,,0.083333333,,,0.766238818,0.739401011,,0.243096072,1,,,,,,,,0.083333333,,0.166666667,,,0.5,1,0.504918033,,,,,0.490163934,0.509836066,hybrid
1532,Purple Frost,1,0,0.61,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.827586207,,,0.75862069,0.666666667,,,,0.666666667,,,0.75862069,,1,,,,1,0.448275862,,,,,0.333333333,,0.333333333,hybrid
1533,Purple Goo,1,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07079646,,0.698113208,0.618518519,,,0.544444444,1,,,,,,,0.559259259,0.473451327,,0.03539823,0.507407407,,0.836477987,1,0.937106918,,,,,,0.798742138,hybrid
1534,Purple Gorilla,2,0,0.55,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.792674693,,0.48606587,1,0.60914226,,0.707625643,,,,0.196804321,,,,,0.084167886,,,,,0.752362569,0.849382907,0.767402582,,0.606588772,,,0.559054168,1,hybrid
1535,Purple Happy Rancher,2,0,0.78,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.496453901,0.792613636,,,0.409090909,0.539007092,,,0.111111111,,,,,,,,0.210227273,,0.042553191,1,0.503546099,,0.423295455,,,,1,indica
1536,Purple Hashplant,1,0,0.43,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955882353,0.989528796,,,0.387434555,1,,,,,,,0.795811518,0.025641026,,,,,0.955882353,1,0.514705882,,1,,,,0.573529412,hybrid
1537,Purple Haze,3,0,0.4,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.635293363,,0.686238082,,,1,,,,1,,,,0.541294241,0.757521699,,0.861478247,0.347423988,,0.371367189,,,0.851115815,0.823767188,0.694624431,,0.985698017,,,,,hybrid
1538,Purple Headband,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.050359712,,,1,,,,,,,,0.644230769,,,0.968854283,0.697841727,0.906562848,0.050359712,,0.745272525,1,,0.666666667,,0.992213571,,,0.666666667,0.711538462,hybrid
1539,Purple Hindu Kush,1,0,0.89,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,0.237203239,,0.42621208,0.479759561,,,0.675589152,1,,,0.574825031,,,,0.408908469,,,0.217133251,,,0.723539447,1,0.768487156,,0.296592191,,,,0.75246619,indica
1540,Purple Ice,2,0,0.26,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025510204,,,1,,,,1,0.96039604,,,0.034146341,,,0.99009901,0.020408163,,0.954081633,,,0.951219512,1,0.07804878,,0.128712871,,,,0.951219512,sativa
1541,Purple Jack,1,0,0.3,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039215686,0.932038835,,0.941747573,,,,1,,,,,0.533333333,,1,0.019607843,,,,,0.6,0.961165049,0.533333333,,0.582524272,,,,0.4,sativa
1542,Purple Kush,1,0,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.247855412,,,0.725823197,,,0.665615894,1,,,0.16801105,,0.549868267,,,0.241379588,,,0.494965848,,0.668800969,1,0.970847302,,0.581470671,,,,0.92410292,indica
1543,Purple Martian Kush,2,0,0.74,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,0.011627907,,,0.861189802,,1,0.949008499,0.52173913,,,0.011627907,,,,,0.023255814,,,,0.818696884,0.326086957,1,0.391304348,,0.974504249,,,,0.391304348,indica
1544,Purple Maui,3,0,0.39,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,0.555555556,,0.5,0.555555556,,1,,,,1,,,0.5,0.4,0.4,,0.777777778,,,0.5,,,1,0.777777778,,,,,,0.6,,hybrid
1545,Purple Monkey Balls,2,0,0.98,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,0.78125,,,,0.725352113,,,0.672535211,1,,,0.120689655,0.68125,,,0.566901408,0.00862069,,1,,,0.73125,1,0.975,,0.654929577,,,,,indica
1546,Purple Mr. Nice,1,0,0.5,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048672566,,,0.435974995,0.463601533,0.841700134,0.714861867,0.329986613,,,,,,,,0.081120944,,0.048672566,,,0.361780455,1,1,,0.769509982,,,,0.439089692,hybrid
1547,Purple Nepal,2,0,0.6,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.044247788,,0.501278772,0.573295985,0.543417367,,,0.537084399,,,,,,,,0.03539823,,0.03539823,0.473389356,,1,0.408963585,,,1,,,0.1342711,0.061381074,hybrid
1548,Purple OG Kush,1,0,0.67,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.178805383,,0.525655736,0.567627803,,,0.39799415,1,,,0.443544484,,0.381487312,,,0.083352157,,,0.692352695,,0.515649598,1,0.601142034,,0.398690625,,,,,indica
1549,Purple Pantera,2,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,indica
1550,Purple Panty Dropper,3,0,0.67,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,0.954682779,0.82447466,,,0.82447466,0.737160121,,,0.128205128,,,,0.925834363,0.085470085,,0.128205128,,,1,1,0.722054381,,0.710754017,,,0.96978852,,indica
1551,Purple Paralysis,2,0,0.375,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.822222222,0.903743316,,,0.903743316,1,0.71657754,,0.25,,0.777777778,,,0.25,,0.25,0.882352941,,0.866666667,1,0.955555556,,,,,,,hybrid
1552,Purple Passion,2,0,0.9,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.033519553,,0.333333333,0.933001358,,,0.946582164,1,,,,,,,,0.201117318,,0.033519553,,0.809416025,0.764705882,1,0.616246499,,0.930285197,,,,0.518207283,indica
1553,Purple People Eater,2,0,0.7,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,0.810126582,,,,0.2,,,,0.949367089,0.226666667,0.949367089,,,,,,,,,,,,0.226666667,1,1,,0.240506329,,,,0.8,indica
1554,Purple Pinecone,0,0,0.575675633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,0.5,1,,,0.975708502,1,,,0.164251208,,,,,,,,0.963562753,0.825910931,,1,,,,,,,0.5,hybrid
1555,Purple Power,1,0,0.25,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045454545,,1,0.933333333,0.733333333,,,1,,,,,,,,0.090909091,,,,0.733333333,0.909090909,1,0.863636364,,0.8,,,,0.818181818,sativa
1556,Purple Princess,1,0,0.5,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294117647,,,0.872492837,,0.581005587,,1,,,,,0.631284916,,0.946991404,0.176470588,0.92765043,0.411764706,,,0.715083799,1,,,0.885386819,,,,0.748603352,hybrid
1557,Purple Punch,2,0,0.67,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.27099269,,0.422088123,0.616028516,,,0.513837136,1,,,0.098026863,,,,0.43044926,0.113342153,,,,,0.740763589,1,0.825760902,,0.608052033,,,,0.730978966,indica
1558,Purple Raine,2,0,0.61,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,0.582608696,,0.766666667,,0.465116279,1,,,,1,,,0.233333333,,0.360465116,,0.67826087,0.766666667,,,,,0.76744186,0.87826087,0.395348837,,0.608695652,,,,,hybrid
1559,Purple Rhino,3,0,0.565,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.043541364,,0.572580645,0.916093535,,,0.343420449,0.733870968,,,0.021770682,,,0.532258065,0.747363595,0.143686502,,,0.600183402,,1,1,0.879032258,,,,,,,hybrid
1560,Purple Sage ,0,0,0.52,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.666666667,0.666666667,,,0.75,,0.5,,,0.25,,0.666666667,,,,,,0.5,,1,,1,,,,0.25,hybrid
1561,Purple Skunk,3,0,0.39,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,0.114678899,0.721682848,,1,0.894822006,,,0.884236453,0.681229773,,,0.362068966,0.411330049,,,0.314220183,,0.325688073,,,1,,,,0.959546926,,,,0.399014778,hybrid
1562,Purple Sour Diesel,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0.42702516,,0.789625194,,,,1,,,0.067673769,,0.641943556,,0.704559848,0.067673769,,0.095529165,,,0.411372167,1,0.96774642,,0.73939202,,,,0.282010288,hybrid
1563,Purple Star,2,0,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,0.949494949,,0.008278146,0.857142857,,,,,0.907647908,0.787234043,,,0.008278146,,,,,,,,,,0.734042553,1,1,,0.822510823,,,0.680851064,0.893617021,indica
1564,Purple Swish,1,0,0.69,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,0.838709677,,,0.838709677,,,,,,,1,,,,,0.838709677,0.838709677,1,1,,,,,,,1,indica
1565,Purple Tangie,0,0,0.28,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,0.35198556,0.241771638,0.699456136,,0.83116576,,,,0.59566787,,,,1,0.557761733,,1,0.017066233,,0.008533117,,0.557815086,0.836642599,,,,0.718846063,,,,,sativa
1566,Purple Tears,1,0,0.27,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.966666667,1,,,,,1,,0.333333333,0.966666667,,,,,,,1,,1,1,,,0.933333333,,,0.966666667,0.966666667,sativa
1567,Purple Thai,0,0,0.2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,0.168674699,0.913043478,,,,0.879518072,,,,,,0.192771084,1,0.066666667,0.747826087,,,,1,0.904347826,0.21686747,,0.886956522,,,,,sativa
1568,Purple Trainwreck,3,0,0.55,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.778672737,,0.626725258,,0.188106284,0.71034845,,0.174873471,,1,,,0.086525964,,,,0.967431273,,,0.077489633,,,0.29681569,0.835020137,0.420708562,,1,,,,,hybrid
1569,Purple Urkle,2,0,0.8,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.365124373,,,0.637585696,,,0.809824036,1,,,,,,,,0.349736391,,0.319109882,0.448584104,,0.579740225,1,0.920462197,,0.522243852,,,0.612633806,0.891281093,indica
1570,Purple Voodoo,2,0,0.5,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.490196078,,0.111111111,0.514705882,,0.568627451,,,,0.970588235,,,0.814814815,,0.705882353,,,,,0.888888889,,,1,0.818627451,0.411764706,,1,,0.632352941,,,hybrid
1571,Purple Widow,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,0.47311828,,0.192307692,,,0.543010753,,,,1,,,0.211538462,,0.965116279,,,,,,,0.623655914,1,1,0.418604651,,0.580645161,0.697674419,,,,hybrid
1572,Purple Wreck,2,0,0.6,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,0.242081448,,0.052208835,,,0.339366516,,,0.746606335,0.594285714,,,0.020080321,,,1,,,,0.052208835,,,0.445714286,1,0.36,,0.239819005,,,,0.434285714,hybrid
1573,Q3,0,0,0.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,0.5,,,,,,0.5,,,,,0.5,0.5,,1,,0.5,,,,0.5,hybrid
1574,Qleaner,0,0,0.5,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.821428571,,0.045454545,,,1,,,,0.27027027,,,0.863636364,0.216216216,,,0.982142857,0.022727273,,,,,0.216216216,0.839285714,0.324324324,,0.964285714,,,1,,hybrid
1575,Qrazy Train,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,0.184560781,,,0.997384306,,,0.773239437,1,,,,,,,,0.103815439,,0.023070098,0.865258216,,0.991934928,1,0.165230578,0.748259461,0.956539235,,,,0.827738333,hybrid
1576,Quantum Kush,1,1,0.24,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.795220857,,0.123754063,0.578946355,0.530000314,1,,,,0.897700499,,,,0.454936701,,,0.870941965,0.014219935,,0.057611051,,,1,,0.563409041,,0.866898371,,,,,sativa
1577,Quebec Gold,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,0.2,,0.6,1,,,,1,,,0.2,,0.4,,0.9375,,,,0.125,,1,1,0.6,,0.166666667,,,,,hybrid
1578,Queen Mother Goji,0,0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,0.5,,,,,,,,0.5,,,,,,,1,,,1,,,,,indica
1579,Queen's Panties,2,0,0.26,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.650793651,,,,,1,,,,0.708333333,,,0.172413793,,0.5,0.5,0.46031746,,0.428571429,0.172413793,,,0.5,0.73015873,,,,,1,,,sativa
1580,Querkle,1,0,0.8,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.54919108,,0.270471464,,,,0.437691299,,0.595540009,0.94256491,,,1,,,,,0.019851117,,,,,0.159716758,0.755137735,1,,1,,0.163650669,,0.256490952,indica
1581,Quin-N-Tonic,2,0,0.9,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714285714,,,,0.571428571,,,0.428571429,1,0.428571429,,,,,,0.428571429,,,,,,0.714285714,1,0.857142857,,,,,,0.571428571,indica
1582,Qush,3,0,0.7,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.875,0.1,0.928571429,,,0.517857143,1,,,,,,,0.928571429,,,,,,0.933333333,1,0.966666667,,,,,,0.933333333,indica
1583,Race Fuel OG,3,0,0.57,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.935779817,,,,1,0.826343381,,,0.169411765,0.187058824,,0.885976409,,,,,,0.857647059,1,1,,0.532110092,,,,,hybrid
1584,Rainbow,2,0,0.5,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256788208,,0.394,1,,,,0.816,,,0.027152832,,,,0.624849579,,,0.021722265,0.743983153,0.578519856,0.457,0.802948255,0.527,,,,,,1,hybrid
1585,Rainbow Jones,2,0,0.5,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,0.872586873,,,0.756756757,0.303030303,,0.687258687,,,0.848484848,,,,,,,,0.303030303,1,,,0.853281853,,,0.151515152,,hybrid
1586,Raindance,2,0,0.6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,0.42745098,0.290196078,,0.388235294,0.653225806,,,,,,,,,,,0.376470588,,1,1,0.709677419,,,,,0.282258065,0.596774194,hybrid
1587,Rare Dankness #1,1,0,0.71,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.93,,,,,0.90625,0.733656174,0.1875,0.690072639,,0.01,,,,,,,0.02,0.711864407,0.740920097,0.1875,1,1,,,,,,,indica
1588,Rare Darkness,1,0,0.85,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,0.596964587,0.70083682,,,0.822372284,,0.575604272,0.446564885,0.730747611,0.490017616,,0.787656904,,,,,0.706066946,,0.690376569,,,,1,1,,0.795067528,,,,0.670039348,indica
1589,Raskal OG,3,0,0.49,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.837181311,0.432861595,,0.806840199,,,,0.944371592,,,,,0.256401408,,0.747578132,0.035561878,0.470221548,0.280227596,,,1,1,0.570639796,,,,,,0.313134102,hybrid
1590,Raspberry Cough,2,0,0.399123639,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0.925706099,0.912331701,0.056476916,0.930004093,,1,,,,0.782588739,,,0.162707306,,0.769736842,,0.836778551,0.153294487,,,,,0.789014688,0.624130168,1,,,,,,,hybrid
1591,Raspberry Kush,2,0,0.75,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.088267636,,0.237785783,0.589151431,,,0.641899755,0.792364683,,,,,,,0.489724429,0.322167906,,0.058398872,,,0.951658689,1,1,,0.724641876,,,,0.395374001,indica
1592,Raw Diesel,3,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.80952381,,0.625,,,0.619047619,,,,0.928571429,,,,0.5,,,0.80952381,,0.80952381,,,,0.571428571,1,1,,,,0.428571429,,,hybrid
1593,Ray Charles,1,0,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829881657,,0.657794677,0.844674556,1,0.433431953,,0.4375,,,,,0.875,,,,,0.895437262,1,0.904942966,,0.514792899,,,,0.838403042,indica
1594,Rebel Berry OG,2,0,0.25,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.537190083,,0.650537634,1,,,0.537190083,0.983870968,,,,,,1,0.666666667,0.512396694,,0.698924731,,,0.537190083,,sativa
1595,Reclining Buddha,2,0,0.98,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,0.966666667,,,0.5,,0.088888889,0.857142857,1,0.714285714,,0.1,,,1,0.714285714,indica
1596,Recon,2,0,0.8,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.644214162,,1,0.6772554,,,0.827191868,0.8704,,,0.03626943,0.5384,,,0.541296061,,,0.906735751,,,,0.838204151,0.7448,,1,,,,0.9584,indica
1597,Red Cherry Berry,1,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285714286,,0.307692308,0.944,,,,1,0.816,,,,,,0.864,0.285714286,,,,,0.615384615,1,0.538461538,,0.912,,,0.461538462,,hybrid
1598,Red Congolese,3,0,0.21,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757763534,,,1,,0.745531999,,,,0.870328422,,,0.731902288,,0.83803932,,0.840240607,0.181529636,,0.715115322,,,1,,,,0.79948723,,0.219614379,0.489609455,,sativa
1599,Red Diesel,2,0,0.5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,0.0625,0.787804878,0.253012048,0.178861789,,1,,0.614457831,,,0.0625,,,,,,,0.309027778,0.97804878,0.903252033,0.325301205,,0.325301205,,1,,,,,hybrid
1600,Red Dragon,1,0,0.375,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232618026,,,1,,,,1,,,0.353991416,,0.317582122,,,,0.746313547,0.395708155,,0.9052592,0.495691976,0.906178203,0.590872375,,0.837879611,,,,0.229671513,hybrid
1601,Red Dwarf,0,0,0.6,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,0.105263158,,0.756097561,0.974358974,,,1,0.902439024,,,,,,,,0.052631579,,0.026315789,0.846153846,,0.829268293,0.948717949,1,,0.974358974,,,,0.780487805,hybrid
1602,Red Eye OG,1,0,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331845238,0.805410122,,,,0.50297619,,,0.817391304,,1,,0.668411867,0.817391304,,0.817391304,,0.616928447,,1,0.331845238,,0.793193717,,,,0.53422619,indica
1603,Red Haze,3,0,0.2,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.009584665,0.847368421,,1,0.978947368,,,0.23943662,,,,,0.056338028,,0.997368421,0.003194888,,0.766773163,,,1,,0.14084507,,0.836842105,,,0.873239437,,sativa
1604,Red Headed Stranger,0,0,0.25,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.854156928,,0.070255294,0.801469115,0.390209178,1,,,,0.839667068,,,0.507421334,,,,0.772420701,,,0.031664358,,,1,,0.371700799,,0.812086811,,,0.221114883,,sativa
1605,Red Poison,0,0,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,0.026315789,0.676348548,0.296943231,0.854771784,0.692946058,,,1,,,,,,,,0.026315789,0.709543568,,,,0.458515284,,0.576419214,,1,,,,0.170305677,hybrid
1606,Red Widow,2,0,0.42,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,1,,,0.923076923,1,,,,,,,0.038461538,,,0.020833333,,0.961538462,,0.942307692,1,,,,,,1,hybrid
1607,Redd Cross,1,0,0.61,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.857142857,,1,,,,,0.857142857,1,,0.5,,,0.571428571,,,,,0.428571429,,,,1,1,1,,,,,,0.928571429,hybrid
1608,Redwood Kush,1,0,0.97,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.060900265,,,0.604669261,,,0.905836576,0.853932584,0.472373541,,,0.438202247,,,0.500389105,0.0070609,,0.004413063,,,0.370786517,1,1,,,,,,0.769662921,indica
1609,Remedy,0,0,0.75,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,0.435608309,0.339034949,0.00797294,,,0.399538411,,,0.363534454,0.657163974,,,0.372070548,,,,0.22261787,0.015945881,,,,,0.295322564,1,1,,,,,0.335550628,,indica
